ticker,security_type,reason,signals
SKBL,common_stock,profile_fields_present,1
SKE,common_stock,profile_fields_present,79
SKGR,common_stock,profile_fields_present,75
SKIL,common_stock,profile_fields_present,18
SKLZ,common_stock,profile_fields_present,7
SKT,common_stock,profile_fields_present,39
SKWD,common_stock,profile_fields_present,45
SKX,common_stock,profile_fields_present,18
SKY,common_stock,profile_fields_present,27
SKYH,common_stock,profile_fields_present,21
SKYT,common_stock,profile_fields_present,27
SKYW,common_stock,profile_fields_present,57
SLAC,spac_or_blank_check,name_contains:ACQUISITION CORP,14
SLAM,spac_or_blank_check,industry_description:SHELL_COMPANIES+BUSINESS_COMBINATION,46
SLCA,common_stock,profile_fields_present,1
SLDB,common_stock,profile_fields_present,21
SLDP,common_stock,profile_fields_present,21
SLG,common_stock,profile_fields_present,32
SLGL,common_stock,profile_fields_present,27
SLGN,common_stock,profile_fields_present,14
SLI,common_stock,profile_fields_present,18
SLM,common_stock,profile_fields_present,37
SLNG,common_stock,profile_fields_present,18
SLNO,common_stock,profile_fields_present,39
SLS,common_stock,profile_fields_present,27
SLVM,common_stock,profile_fields_present,33
SMA,common_stock,profile_fields_present,6
SMAR,common_stock,profile_fields_present,15
SMBC,common_stock,profile_fields_present,24
SMBK,common_stock,profile_fields_present,36
SMC,common_stock,profile_fields_present,6
SMCP,etf,is_etf=True,15
SMG,common_stock,profile_fields_present,14
SMHI,common_stock,profile_fields_present,7
SMID,common_stock,profile_fields_present,13
SMLP,common_stock,profile_fields_present,16
SMLR,common_stock,profile_fields_present,10
SMP,common_stock,profile_fields_present,16
SMPL,common_stock,profile_fields_present,1
SMR,common_stock,profile_fields_present,26
SMWB,common_stock,profile_fields_present,38
SNCR,common_stock,profile_fields_present,8
SNCY,common_stock,profile_fields_present,14
SND,common_stock,profile_fields_present,31
SNDA,common_stock,profile_fields_present,37
SNDX,common_stock,profile_fields_present,16
SNFCA,common_stock,profile_fields_present,33
SNPX,common_stock,profile_fields_present,3
SNRE,common_stock,profile_fields_present,14
SNT,common_stock,profile_fields_present,29
SNV,common_stock,profile_fields_present,16
SNWV,common_stock,profile_fields_present,46
SOC,common_stock,profile_fields_present,33
SOHO,common_stock,profile_fields_present,28
SOI,common_stock,profile_fields_present,9
SON,common_stock,profile_fields_present,5
SONN,common_stock,profile_fields_present,2
SONO,common_stock,profile_fields_present,15
SOPA,common_stock,profile_fields_present,1
SOPH,common_stock,profile_fields_present,8
SOR,closed_end_fund,raw_description:CLOSED_END_SUBJECT_POSITION,38
SOTK,common_stock,profile_fields_present,3
SOUN,common_stock,profile_fields_present,15
SOVO,common_stock,profile_fields_present,5
SP,common_stock,profile_fields_present,11
SPAI,common_stock,profile_fields_present,11
SPB,common_stock,profile_fields_present,17
SPC,etf,is_etf=True,9
SPCB,common_stock,profile_fields_present,5
SPCE,common_stock,profile_fields_present,2
SPCY,etf,is_etf=True,14
SPFI,common_stock,profile_fields_present,24
SPH,common_stock,profile_fields_present,10
SPHR,common_stock,profile_fields_present,15
SPI,common_stock,profile_fields_present,2
SPIR,common_stock,profile_fields_present,22
SPLG,etf,is_etf=True,101
SPLK,common_stock,profile_fields_present,20
SPMC,closed_end_fund,industry_description:ASSET_MANAGEMENT+FUND_TEMPLATE,7
SPME,closed_end_fund,raw_description:CLOSED_END_SUBJECT_POSITION,4
SPNT,common_stock,profile_fields_present,58
SPOK,common_stock,profile_fields_present,12
SPQ,etf,is_etf=True,34
SPR,common_stock,profile_fields_present,23
SPRB,common_stock,profile_fields_present,15
SPRO,common_stock,profile_fields_present,10
SPRU,common_stock,profile_fields_present,9
SPRY,common_stock,profile_fields_present,22
SPSC,common_stock,profile_fields_present,2
SPTN,common_stock,profile_fields_present,14
SPVU,etf,name_contains:ETF,57
SQ,common_stock,profile_fields_present,11
SQEW,etf,is_etf=True,27
SQSP,common_stock,profile_fields_present,42
SR,common_stock,profile_fields_present,43
SRAD,common_stock,profile_fields_present,64
SRBK,common_stock,profile_fields_present,72
SRC,common_stock,profile_fields_present,2
SRCE,common_stock,profile_fields_present,25
SRCL,common_stock,profile_fields_present,13
SRDX,common_stock,profile_fields_present,8
SRG,common_stock,profile_fields_present,2
SRI,common_stock,profile_fields_present,2
SRL,common_stock,profile_fields_present,9
SRM,common_stock,profile_fields_present,3
SRPT,common_stock,profile_fields_present,2
SRTA,common_stock,profile_fields_present,13
SRTS,common_stock,profile_fields_present,14
SRZN,common_stock,profile_fields_present,27
SSBI,common_stock,profile_fields_present,19
SSBK,common_stock,profile_fields_present,5
SSII,common_stock,profile_fields_present,48
SSNT,common_stock,profile_fields_present,2
SSP,common_stock,profile_fields_present,10
SSPX,etf,is_etf=True,68
SSTI,common_stock,profile_fields_present,6
SSY,common_stock,profile_fields_present,4
STAA,common_stock,profile_fields_present,7
STAK,common_stock,profile_fields_present,6
STBA,common_stock,profile_fields_present,28
STC,common_stock,profile_fields_present,19
STCN,common_stock,profile_fields_present,17
STEL,common_stock,profile_fields_present,22
STEM,common_stock,profile_fields_present,2
STER,common_stock,profile_fields_present,9
STGW,common_stock,profile_fields_present,16
STI,common_stock,profile_fields_present,1
STKL,common_stock,profile_fields_present,9
STNE,common_stock,profile_fields_present,17
STNG,common_stock,profile_fields_present,44
STOK,common_stock,profile_fields_present,32
STRA,common_stock,profile_fields_present,7
STRO,common_stock,profile_fields_present,21
STRR,common_stock,profile_fields_present,1
STRS,common_stock,profile_fields_present,15
STRT,common_stock,profile_fields_present,34
STRV,etf,is_etf=True,96
STRW,common_stock,profile_fields_present,46
STRZ,common_stock,profile_fields_present,8
STTK,common_stock,profile_fields_present,39
STVN,common_stock,profile_fields_present,6
STXI,etf,is_etf=True,37
STXM,etf,is_etf=True,35
SUM,common_stock,profile_fields_present,29
SUNC,common_stock,profile_fields_present,27
SUNS,common_stock,profile_fields_present,4
SUPN,common_stock,profile_fields_present,38
SUPX,common_stock,profile_fields_present,34
SVCO,common_stock,profile_fields_present,19
SVM,common_stock,profile_fields_present,52
SVRA,common_stock,profile_fields_present,24
SVT,common_stock,profile_fields_present,17
SVV,common_stock,profile_fields_present,12
SWAG,common_stock,profile_fields_present,22
SWBI,common_stock,profile_fields_present,28
SWI,common_stock,profile_fields_present,26
SWIM,common_stock,profile_fields_present,19
SWIN,common_stock,profile_fields_present,17
SWKH,common_stock,profile_fields_present,16
SWN,common_stock,profile_fields_present,6
SWTX,common_stock,profile_fields_present,16
SXC,common_stock,profile_fields_present,12
SXI,common_stock,profile_fields_present,47
SXT,common_stock,profile_fields_present,2
SYBT,common_stock,profile_fields_present,22
SYNB,etf,is_etf=True,31
SYPR,common_stock,profile_fields_present,9
SYRE,common_stock,profile_fields_present,41
TAC,common_stock,profile_fields_present,26
TACT,common_stock,profile_fields_present,4
TALK,common_stock,profile_fields_present,38
TALO,common_stock,profile_fields_present,23
TARA,common_stock,profile_fields_present,11
TARO,common_stock,profile_fields_present,2
TARS,common_stock,profile_fields_present,46
TASK,common_stock,profile_fields_present,9
TAST,common_stock,profile_fields_present,26
TATT,common_stock,profile_fields_present,67
TAYD,common_stock,profile_fields_present,48
TBBB,common_stock,profile_fields_present,25
TBBK,common_stock,profile_fields_present,39
TBC,exchange_traded_debt,name_contains:NOTES,4
